user_id,playlist_id,num_of_musics,num_of_musics_with_mbid,danceability,gender,genre_dortmund,genre_electronic,genre_rosamerica,genre_tzanetakis,ismir04_rhythm,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad,moods_mirex,timbre,tonal_atonal,voice_instrumental
8824,33317,15,11,"[('not_danceable', 9), ('danceable', 2)]","[('female', 6), ('male', 5)]","[('electronic', 8), ('folkcountry', 2), ('blues', 1)]","[('ambient', 8), ('trance', 3)]","[('rhy', 4), ('jaz', 2), ('roc', 2), ('dan', 1), ('cla', 1), ('pop', 1)]","[('jaz', 9), ('roc', 2)]","[('VienneseWaltz', 6), ('ChaChaCha', 2), ('Rumba-American', 1), ('Waltz', 1), ('Tango', 1)]","[('not_acoustic', 6), ('acoustic', 5)]","[('not_aggressive', 10), ('aggressive', 1)]","[('electronic', 6), ('not_electronic', 5)]","[('not_happy', 8), ('happy', 3)]","[('not_party', 10), ('party', 1)]","[('relaxed', 9), ('not_relaxed', 2)]","[('sad', 6), ('not_sad', 5)]","[('Cluster3', 5), ('Cluster5', 5), ('Cluster2', 1)]","[('bright', 7), ('dark', 4)]","[('tonal', 6), ('atonal', 5)]","[('instrumental', 7), ('voice', 4)]"
22399,23350,10,5,"[('danceable', 3), ('not_danceable', 2)]","[('male', 3), ('female', 2)]","[('electronic', 5)]","[('ambient', 3), ('trance', 2)]","[('roc', 3), ('rhy', 1), ('pop', 1)]","[('jaz', 5)]","[('ChaChaCha', 3), ('VienneseWaltz', 2)]","[('not_acoustic', 4), ('acoustic', 1)]","[('not_aggressive', 5)]","[('not_electronic', 3), ('electronic', 2)]","[('not_happy', 3), ('happy', 2)]","[('not_party', 4), ('party', 1)]","[('relaxed', 4), ('not_relaxed', 1)]","[('not_sad', 5)]","[('Cluster5', 4), ('Cluster3', 1)]","[('dark', 3), ('bright', 2)]","[('atonal', 3), ('tonal', 2)]","[('instrumental', 3), ('voice', 2)]"
20197,19868,20,8,"[('danceable', 4), ('not_danceable', 4)]","[('male', 4), ('female', 4)]","[('electronic', 8)]","[('trance', 4), ('ambient', 3), ('house', 1)]","[('roc', 6), ('hip', 1), ('pop', 1)]","[('jaz', 8)]","[('ChaChaCha', 5), ('Rumba-American', 2), ('VienneseWaltz', 1)]","[('not_acoustic', 8)]","[('not_aggressive', 4), ('aggressive', 4)]","[('electronic', 5), ('not_electronic', 3)]","[('not_happy', 5), ('happy', 3)]","[('not_party', 5), ('party', 3)]","[('not_relaxed', 4), ('relaxed', 4)]","[('not_sad', 8)]","[('Cluster5', 8)]","[('dark', 8)]","[('atonal', 6), ('tonal', 2)]","[('instrumental', 4), ('voice', 4)]"
20245,19900,15,8,"[('not_danceable', 6), ('danceable', 2)]","[('female', 5), ('male', 3)]","[('electronic', 8)]","[('ambient', 5), ('trance', 3)]","[('roc', 4), ('rhy', 1), ('hip', 1), ('cla', 1), ('pop', 1)]","[('jaz', 7), ('blu', 1)]","[('Tango', 3), ('ChaChaCha', 3), ('VienneseWaltz', 1), ('Waltz', 1)]","[('not_acoustic', 8)]","[('not_aggressive', 4), ('aggressive', 4)]","[('electronic', 6), ('not_electronic', 2)]","[('not_happy', 7), ('happy', 1)]","[('not_party', 5), ('party', 3)]","[('relaxed', 5), ('not_relaxed', 3)]","[('not_sad', 8)]","[('Cluster5', 8)]","[('dark', 8)]","[('atonal', 6), ('tonal', 2)]","[('instrumental', 4), ('voice', 4)]"
25391,28470,8,5,"[('not_danceable', 4), ('danceable', 1)]","[('female', 4), ('male', 1)]","[('electronic', 5)]","[('ambient', 3), ('trance', 1), ('techno', 1)]","[('rhy', 2), ('hip', 1), ('dan', 1), ('roc', 1)]","[('jaz', 4), ('blu', 1)]","[('Rumba-American', 2), ('VienneseWaltz', 1), ('Tango', 1), ('ChaChaCha', 1)]","[('not_acoustic', 3), ('acoustic', 2)]","[('not_aggressive', 5)]","[('electronic', 4), ('not_electronic', 1)]","[('not_happy', 4), ('happy', 1)]","[('not_party', 5)]","[('relaxed', 5)]","[('not_sad', 4), ('sad', 1)]","[('Cluster5', 4), ('Cluster3', 1)]","[('dark', 5)]","[('atonal', 4), ('tonal', 1)]","[('instrumental', 4), ('voice', 1)]"
22355,25685,22,12,"[('not_danceable', 7), ('danceable', 5)]","[('male', 8), ('female', 4)]","[('electronic', 12)]","[('ambient', 7), ('trance', 5)]","[('roc', 5), ('rhy', 3), ('pop', 2), ('hip', 1), ('jaz', 1)]","[('jaz', 11), ('roc', 1)]","[('VienneseWaltz', 9), ('ChaChaCha', 2), ('Rumba-American', 1)]","[('not_acoustic', 10), ('acoustic', 2)]","[('not_aggressive', 11), ('aggressive', 1)]","[('electronic', 9), ('not_electronic', 3)]","[('happy', 8), ('not_happy', 4)]","[('not_party', 9), ('party', 3)]","[('relaxed', 8), ('not_relaxed', 4)]","[('not_sad', 10), ('sad', 2)]","[('Cluster3', 7), ('Cluster5', 4), ('Cluster2', 1)]","[('dark', 6), ('bright', 6)]","[('atonal', 7), ('tonal', 5)]","[('voice', 8), ('instrumental', 4)]"
6405,4726,7,5,"[('not_danceable', 4), ('danceable', 1)]","[('female', 4), ('male', 1)]","[('electronic', 5)]","[('ambient', 5)]","[('hip', 1), ('rhy', 1), ('dan', 1), ('jaz', 1), ('pop', 1)]","[('jaz', 5)]","[('VienneseWaltz', 2), ('Rumba-American', 1), ('Tango', 1), ('ChaChaCha', 1)]","[('not_acoustic', 3), ('acoustic', 2)]","[('not_aggressive', 5)]","[('electronic', 4), ('not_electronic', 1)]","[('not_happy', 3), ('happy', 2)]","[('not_party', 5)]","[('relaxed', 5)]","[('sad', 3), ('not_sad', 2)]","[('Cluster5', 3), ('Cluster2', 1), ('Cluster3', 1)]","[('dark', 3), ('bright', 2)]","[('atonal', 4), ('tonal', 1)]","[('instrumental', 3), ('voice', 2)]"
20506,26231,6,6,"[('not_danceable', 4), ('danceable', 2)]","[('female', 4), ('male', 2)]","[('electronic', 6)]","[('ambient', 6)]","[('roc', 2), ('jaz', 2), ('rhy', 1), ('pop', 1)]","[('jaz', 4), ('roc', 2)]","[('VienneseWaltz', 2), ('Rumba-American', 1), ('Samba', 1), ('Tango', 1), ('ChaChaCha', 1)]","[('not_acoustic', 6)]","[('not_aggressive', 4), ('aggressive', 2)]","[('electronic', 6)]","[('not_happy', 5), ('happy', 1)]","[('not_party', 6)]","[('relaxed', 5), ('not_relaxed', 1)]","[('not_sad', 6)]","[('Cluster5', 6)]","[('dark', 5), ('bright', 1)]","[('atonal', 4), ('tonal', 2)]","[('instrumental', 4), ('voice', 2)]"
10854,10255,12,7,"[('not_danceable', 6), ('danceable', 1)]","[('female', 4), ('male', 3)]","[('electronic', 7)]","[('ambient', 7)]","[('pop', 3), ('cla', 2), ('rhy', 1), ('roc', 1)]","[('jaz', 4), ('roc', 2), ('hip', 1)]","[('VienneseWaltz', 5), ('Rumba-American', 1), ('ChaChaCha', 1)]","[('acoustic', 4), ('not_acoustic', 3)]","[('not_aggressive', 7)]","[('not_electronic', 4), ('electronic', 3)]","[('not_happy', 5), ('happy', 2)]","[('not_party', 7)]","[('relaxed', 7)]","[('not_sad', 4), ('sad', 3)]","[('Cluster3', 3), ('Cluster5', 3), ('Cluster2', 1)]","[('dark', 4), ('bright', 3)]","[('atonal', 4), ('tonal', 3)]","[('voice', 4), ('instrumental', 3)]"
10927,14252,7,5,"[('not_danceable', 5)]","[('female', 4), ('male', 1)]","[('electronic', 5)]","[('ambient', 5)]","[('jaz', 3), ('hip', 1), ('cla', 1)]","[('jaz', 4), ('roc', 1)]","[('VienneseWaltz', 3), ('Waltz', 1), ('Tango', 1)]","[('acoustic', 4), ('not_acoustic', 1)]","[('not_aggressive', 5)]","[('not_electronic', 4), ('electronic', 1)]","[('not_happy', 5)]","[('not_party', 5)]","[('relaxed', 5)]","[('sad', 4), ('not_sad', 1)]","[('Cluster3', 3), ('Cluster2', 1), ('Cluster5', 1)]","[('bright', 4), ('dark', 1)]","[('tonal', 4), ('atonal', 1)]","[('instrumental', 4), ('voice', 1)]"
