user_id,track_name,artist_name,8tracks_id,mbids,playlist_id,tags,playlist_name,path,in_db,danceability_value,danceability_prob,gender_value,gender_prob,genre_dortmund_value,genre_dortmund_prob,genre_electronic_value,genre_electronic_prob,genre_rosamerica_value,genre_rosamerica_prob,genre_tzanetakis_value,genre_tzanetakis_prob,ismir04_rhythm_value,ismir04_rhythm_prob,mood_acoustic_value,mood_acoustic_prob,mood_aggressive_value,mood_aggressive_prob,mood_electronic_value,mood_electronic_prob,mood_happy_value,mood_happy_prob,mood_party_value,mood_party_prob,mood_relaxed_value,mood_relaxed_prob,mood_sad_value,mood_sad_prob,moods_mirex_value,moods_mirex_prob,timbre_value,timbre_prob,tonal_atonal_value,tonal_atonal_prob,voice_instrumental_value,voice_instrumental_prob
11502,"One For Sorrow, Two For Joy",The Innocence Mission,97840,b3d6fada-1ada-480a-8462-28039fe5813f,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/b/b3/b3d6fada-1ada-480a-8462-28039fe5813f-0.json,FALSE
11502,Dive For Your Memory,The Go-Betweens,97841,d21d6f9e-9505-46ad-a49d-cec179a1b934,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/d/d2/d21d6f9e-9505-46ad-a49d-cec179a1b934-0.json,TRUE,not_danceable,0.692192971706,male,0.982287943363,electronic,0.345773637295,ambient,0.710801005363,rhy,0.582034170628,jaz,0.313974827528,ChaChaCha,0.345618009567,not_acoustic,0.52353066206,not_aggressive,0.955883383751,not_electronic,0.900686860085,happy,0.87852793932,not_party,0.749189078808,not_relaxed,0.679648578167,not_sad,0.60112041235,Cluster2,0.480718851089,bright,0.999991953373,tonal,0.994169533253,voice,0.975057303905
11502,"Winning A Battle, Losing The War",The Kings Of Convenience,97842,e4124b61-6476-4134-9d72-df12f374bd0d,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/e/e4/e4124b61-6476-4134-9d72-df12f374bd0d-0.json,FALSE
11502,Katy Song,Red House Painters,97843,675eb0cd-417d-4110-b331-de32f7d51c27,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/6/67/675eb0cd-417d-4110-b331-de32f7d51c27-0.json,TRUE,not_danceable,0.929610192776,male,0.772609174252,electronic,0.999999642372,ambient,0.55849480629,rhy,0.538744688034,jaz,0.999999940395,VienneseWaltz,0.994522988796,acoustic,0.573947012424,not_aggressive,0.995888829231,electronic,0.696676433086,not_happy,0.970612168312,not_party,0.911771893501,relaxed,0.984218120575,not_sad,0.639276921749,Cluster5,0.628056406975,dark,0.938629508018,atonal,0.961307823658,instrumental,0.77505248785
11502,(I Can't Seem To) Make You Mine,The Clientele,97844,1501033a-5494-4713-9e52-4f1cbc1f42dd,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/1/15/1501033a-5494-4713-9e52-4f1cbc1f42dd-0.json,FALSE
11502,Take Some Time,Rose Melberg,97846,204bb3c2-85f1-45a6-bd8e-30849eb9179d,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/2/20/204bb3c2-85f1-45a6-bd8e-30849eb9179d-0.json,FALSE
11502,Sailing Man,Neil Halstead,97847,0a795a73-f3f0-4ecd-874a-6d923de2d557,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/0/0a/0a795a73-f3f0-4ecd-874a-6d923de2d557-0.json,FALSE
11502,From A Late Night Train,The Blue Nile,97849,c7deebe0-ec26-4fad-a743-24f6f8261603,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/c/c7/c7deebe0-ec26-4fad-a743-24f6f8261603-0.json,FALSE
11502,What Can I Say To Change Your Heart?,Trembling Blue Stars,97874,ef2b6e4d-9736-4030-abec-ef4b42a06455,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/e/ef/ef2b6e4d-9736-4030-abec-ef4b42a06455-0.json,FALSE
11502,The Process,Saint Etienne,97875,1a3de211-2800-4e03-8b63-1dfc453141d3,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/1/1a/1a3de211-2800-4e03-8b63-1dfc453141d3-0.json,TRUE,danceable,0.613855481148,female,0.669375479221,electronic,0.98843818903,house,0.487513065338,rhy,0.641097605228,jaz,0.314616829157,VienneseWaltz,0.253191351891,not_acoustic,0.572400689125,not_aggressive,0.933162689209,electronic,0.746813595295,happy,0.660650610924,not_party,0.612616956234,relaxed,0.95935189724,not_sad,0.565533161163,Cluster3,0.428872168064,bright,0.660124480724,atonal,0.571767449379,instrumental,0.730962395668
11502,Better Be Heaven,Stars,97877,e84ff55e-9979-4e5f-8287-a244637fe493,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/e/e8/e84ff55e-9979-4e5f-8287-a244637fe493-0.json,TRUE,danceable,0.894587218761,female,0.796965301037,electronic,0.726770460606,ambient,0.487762033939,rhy,0.777959823608,jaz,0.310666948557,Rumba-International,0.273010492325,acoustic,0.515909433365,not_aggressive,0.981350362301,not_electronic,0.731063306332,not_happy,0.98677110672,not_party,0.603171646595,relaxed,0.614493072033,not_sad,0.566514074802,Cluster3,0.318759202957,dark,0.777914226055,atonal,0.892058074474,voice,0.969886302948
11502,Let's Go Out Tonight,Craig Armstrong,97878,6e50a45f-f913-40ea-873c-246ada282af1,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/6/6e/6e50a45f-f913-40ea-873c-246ada282af1-0.json,FALSE
11502,My Life In Art,Mojave 3,97879,83bff8bf-2046-4bf5-b798-a658f228ed2c,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/8/83/83bff8bf-2046-4bf5-b798-a658f228ed2c-0.json,TRUE,danceable,0.793051123619,female,0.693825900555,electronic,0.999434649944,house,0.459254384041,rhy,0.376988381147,jaz,0.172201260924,Tango,0.933624327183,acoustic,0.621720254421,not_aggressive,0.97449952364,not_electronic,0.548241794109,not_happy,0.999993562698,not_party,0.879122793674,relaxed,0.943863749504,sad,0.573181092739,Cluster5,0.34592244029,bright,0.705535590649,atonal,0.95140427351,voice,0.772660970688
11502,Northern Sky,Nick Drake,97880,10068504-49be-4cfb-9024-94c500fddc68,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/1/10/10068504-49be-4cfb-9024-94c500fddc68-0.json,FALSE
11502,What You'll Miss,The Lucksmiths,97882,19a7b341-d152-4224-b459-109c54f2679c,11140,"indiepop, quiet pop, slowcore","One For Sorrow, Two For Joy",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/1/19/19a7b341-d152-4224-b459-109c54f2679c-0.json,FALSE
