user_id,track_name,artist_name,8tracks_id,mbids,playlist_id,tags,playlist_name,path,in_db,danceability_value,danceability_prob,gender_value,gender_prob,genre_dortmund_value,genre_dortmund_prob,genre_electronic_value,genre_electronic_prob,genre_rosamerica_value,genre_rosamerica_prob,genre_tzanetakis_value,genre_tzanetakis_prob,ismir04_rhythm_value,ismir04_rhythm_prob,mood_acoustic_value,mood_acoustic_prob,mood_aggressive_value,mood_aggressive_prob,mood_electronic_value,mood_electronic_prob,mood_happy_value,mood_happy_prob,mood_party_value,mood_party_prob,mood_relaxed_value,mood_relaxed_prob,mood_sad_value,mood_sad_prob,moods_mirex_value,moods_mirex_prob,timbre_value,timbre_prob,tonal_atonal_value,tonal_atonal_prob,voice_instrumental_value,voice_instrumental_prob
14354,Scarlet Begonias,Sublime,18053,6b62a1e7-600a-4a4a-aa67-306689f7153b,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/6/6b/6b62a1e7-600a-4a4a-aa67-306689f7153b-0.json,TRUE,not_danceable,1,female,0.622126698494,electronic,0.998255133629,techno,0.40129801631,hip,0.706378638744,jaz,0.179461434484,ChaChaCha,0.387748926878,not_acoustic,0.904409646988,not_aggressive,1,electronic,0.979391694069,not_happy,0.688426673412,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.789878726006,Cluster5,0.619993627071,dark,0.972427666187,atonal,0.995822310448,instrumental,0.999998211861
14354,"Lover, You Should've Come Over",Jeff Buckley,10184,7d9310e5-a385-45e6-a8d7-6481a8bc932b,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/7/7d/7d9310e5-a385-45e6-a8d7-6481a8bc932b-0.json,FALSE
14354,Sleepyhead,Passion Pit,7572,13e8816a-68f4-4eef-ae5f-b06955477b8f,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/1/13/13e8816a-68f4-4eef-ae5f-b06955477b8f-0.json,TRUE,not_danceable,1,female,0.622126698494,electronic,0.991763651371,ambient,0.682342708111,hip,0.527004182339,jaz,0.309046447277,Waltz,0.274778276682,not_acoustic,0.904409646988,not_aggressive,1,electronic,0.979391694069,not_happy,0.94813811779,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.930323660374,Cluster5,0.61999386549,dark,0.994694471359,atonal,0.976237952709,instrumental,0.995123207569
14354,What Sarah Said,Death Cab For Cutie,44746,0287af21-9f5b-45b7-b26e-8b6556f53ea2,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/0/02/0287af21-9f5b-45b7-b26e-8b6556f53ea2-0.json,FALSE
14354,I'll Call Before I Come,Outkast,1000803,f6f6ebcd-aa70-440e-9f7d-b169a39fcf03,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/f/f6/f6f6ebcd-aa70-440e-9f7d-b169a39fcf03-0.json,TRUE,not_danceable,1,female,0.622126698494,electronic,0.998251974583,ambient,0.659242630005,hip,0.938352525234,jaz,0.309046447277,ChaChaCha,0.621803283691,not_acoustic,0.904409646988,not_aggressive,1,electronic,0.979391694069,not_happy,0.937980353832,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.938881576061,Cluster5,0.619997680187,dark,0.616503596306,atonal,0.98144942522,instrumental,1
14354,My Angel Rocks Back and Forth,Four Tet,76350,c744f420-d7a2-4402-bec2-e9e0d8b860e3,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/c/c7/c744f420-d7a2-4402-bec2-e9e0d8b860e3-0.json,TRUE,not_danceable,1,female,0.622126698494,electronic,0.9999807477,ambient,0.700509727001,jaz,0.527097225189,jaz,0.309046447277,Waltz,0.274778276682,not_acoustic,0.904409646988,not_aggressive,1,electronic,0.979391694069,not_happy,1,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.769302487373,Cluster5,0.61999386549,dark,0.996973931789,atonal,0.999999940395,instrumental,1
14354,Blackbird,The Beatles,53604,5756ca45-4a60-4044-9180-851620b514e3,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/5/57/5756ca45-4a60-4044-9180-851620b514e3-0.json,FALSE
14354,Fuck and Run,Liz Phair,5733,c4bbc3f8-0fe2-4392-8124-fda9fb57919e,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/c/c4/c4bbc3f8-0fe2-4392-8124-fda9fb57919e-0.json,FALSE
14354,Heads Will Roll,Yeah Yeah Yeahs,111413,493b4b13-f3a3-4ba6-8ae1-7667035dcc16,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/4/49/493b4b13-f3a3-4ba6-8ae1-7667035dcc16-0.json,TRUE,danceable,0.997967898846,female,0.857450008392,electronic,0.965134680271,trance,0.655736863613,dan,0.413850724697,jaz,0.310666948557,ChaChaCha,0.41496360302,not_acoustic,0.999999046326,not_aggressive,1,electronic,0.911271572113,happy,0.539539635181,not_party,0.958428561687,relaxed,0.805224597454,not_sad,0.65939104557,Cluster5,0.648593366146,dark,0.639320015907,tonal,0.682826340199,instrumental,0.855323910713
14354,Naked As We Came,Iron & Wine,103970,29dbf257-77c8-4df3-8aff-6d8eaf5113d1,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/2/29/29dbf257-77c8-4df3-8aff-6d8eaf5113d1-0.json,TRUE,not_danceable,1,female,0.622126698494,electronic,0.998173952103,ambient,0.414244681597,rhy,0.38028717041,jaz,0.309046447277,Waltz,0.274778276682,not_acoustic,0.904409646988,not_aggressive,1,electronic,0.979391694069,not_happy,1,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.87028491497,Cluster5,0.61999386549,dark,0.984775781631,atonal,0.979885816574,instrumental,1
14354,Kitty,The Presidents Of The United States Of America,36585,7f43e81b-81d2-41e9-8b87-ce92fb5605cd,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/7/7f/7f43e81b-81d2-41e9-8b87-ce92fb5605cd-0.json,FALSE
14354,Hold It In,Jukebox the Ghost,37503,1418a3d2-e5be-49a2-8f0c-63281f1a85e2,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/1/14/1418a3d2-e5be-49a2-8f0c-63281f1a85e2-0.json,FALSE
14354,Business Time,Flight of The Conchords,160843,839d31ad-42cc-4ccf-9177-30ab14dfbdbf,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/8/83/839d31ad-42cc-4ccf-9177-30ab14dfbdbf-0.json,FALSE
14354,Cherub Rock,The Smashing Pumpkins,55047,43b9196d-06aa-42a9-999b-b8c2ee3b9d7e,20843,"rock, pop, jon","Friends, Lovers, and Guilty Pleasures",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/4/43/43b9196d-06aa-42a9-999b-b8c2ee3b9d7e-0.json,FALSE
