user_id,track_name,artist_name,8tracks_id,mbids,playlist_id,tags,playlist_name,path,in_db,danceability_value,danceability_prob,gender_value,gender_prob,genre_dortmund_value,genre_dortmund_prob,genre_electronic_value,genre_electronic_prob,genre_rosamerica_value,genre_rosamerica_prob,genre_tzanetakis_value,genre_tzanetakis_prob,ismir04_rhythm_value,ismir04_rhythm_prob,mood_acoustic_value,mood_acoustic_prob,mood_aggressive_value,mood_aggressive_prob,mood_electronic_value,mood_electronic_prob,mood_happy_value,mood_happy_prob,mood_party_value,mood_party_prob,mood_relaxed_value,mood_relaxed_prob,mood_sad_value,mood_sad_prob,moods_mirex_value,moods_mirex_prob,timbre_value,timbre_prob,tonal_atonal_value,tonal_atonal_prob,voice_instrumental_value,voice_instrumental_prob
19836,Scared as Fuck,An Horse,173662,f66ac865-fe9c-460b-96dc-4fc2ba510d9b,25864,"alternative rock, college, electronic",College:  A Retrospective,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/f/f6/f66ac865-fe9c-460b-96dc-4fc2ba510d9b-0.json,TRUE,not_danceable,1,female,0.622126698494,electronic,0.998995840549,trance,0.652042865753,dan,0.780995607376,jaz,0.309046447277,Samba,0.214275732636,not_acoustic,0.904651165009,not_aggressive,1,electronic,0.979391694069,not_happy,0.562937676907,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.851302027702,Cluster5,0.61999386549,dark,0.995535492897,atonal,0.996538221836,instrumental,0.987021028996
19836,Time to Pretend,MGMT,41908,24436eea-e79f-4592-b7f8-3e9bfe01f483,25864,"alternative rock, college, electronic",College:  A Retrospective,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/2/24/24436eea-e79f-4592-b7f8-3e9bfe01f483-0.json,TRUE,not_danceable,1,female,0.622126698494,electronic,0.995602548122,trance,0.747562885284,roc,0.575408160686,jaz,0.309046447277,Rumba-American,0.572232306004,not_acoustic,0.904409646988,not_aggressive,1,electronic,0.979391694069,not_happy,0.828929483891,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.921967685223,Cluster5,0.61999386549,dark,0.997755348682,atonal,0.999999284744,instrumental,0.978140711784
19836,Love LockDown,Kanye West,31445,11bc5236-54da-4009-a0ed-589e9cb83cb9,25864,"alternative rock, college, electronic",College:  A Retrospective,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/1/11/11bc5236-54da-4009-a0ed-589e9cb83cb9-0.json,TRUE,danceable,0.999999523163,female,0.648811221123,electronic,0.999889612198,house,0.394777327776,rhy,0.568564713001,jaz,0.289514452219,VienneseWaltz,0.718354582787,not_acoustic,0.999996483326,not_aggressive,0.979209840298,electronic,0.98845499754,happy,0.729065954685,not_party,0.778006494045,not_relaxed,0.612957954407,not_sad,0.843550205231,Cluster3,0.375425547361,dark,0.991717875004,atonal,0.989371955395,instrumental,0.990104436874
19836,Hot N' Cold,Katy Perry,21761,499ecaad-5161-4be3-9a67-112052c1ec1e,25864,"alternative rock, college, electronic",College:  A Retrospective,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/4/49/499ecaad-5161-4be3-9a67-112052c1ec1e-0.json,FALSE
19836,Jockin' Jay-Z (prod. Kanye West),Jay-Z,20144,c8f6b487-2d21-4412-b2d3-4c3c60b56830,25864,"alternative rock, college, electronic",College:  A Retrospective,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/c/c8/c8f6b487-2d21-4412-b2d3-4c3c60b56830-0.json,FALSE
19836,Mr. Vain,Culture Beat,294077,4bc29560-bc5d-4967-a7f8-db7835e81e87,25864,"alternative rock, college, electronic",College:  A Retrospective,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/4/4b/4bc29560-bc5d-4967-a7f8-db7835e81e87-0.json,TRUE,not_danceable,1,female,0.622126698494,electronic,0.997305512428,trance,0.476518750191,roc,0.717538177967,jaz,0.309046447277,ChaChaCha,0.956510424614,not_acoustic,0.904409646988,not_aggressive,1,electronic,0.979391694069,not_happy,0.65430188179,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.956925392151,Cluster5,0.61999386549,dark,0.992460787296,atonal,0.978493452072,instrumental,0.996498823166
19836,Just Dance,Lady GaGa,5644,86897d7b-59e8-491b-895e-26df0a4d45ab,25864,"alternative rock, college, electronic",College:  A Retrospective,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/8/86/86897d7b-59e8-491b-895e-26df0a4d45ab-0.json,FALSE
19836,Boom Boom Pow,Black Eyed Peas,205664,a4bbf91f-ec8b-44a2-90f9-898c875aa297,25864,"alternative rock, college, electronic",College:  A Retrospective,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/a/a4/a4bbf91f-ec8b-44a2-90f9-898c875aa297-0.json,TRUE,danceable,0.999999880791,female,0.622126758099,electronic,0.999933898449,ambient,0.409575998783,hip,0.867303013802,jaz,0.309046447277,Tango,0.237928509712,not_acoustic,0.904409646988,aggressive,0.999999880791,electronic,0.979391694069,not_happy,0.765670418739,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.607549667358,Cluster5,0.61999386549,dark,0.975861310959,atonal,0.999999940395,instrumental,0.995515346527
19836,Decode,Paramore,72357,ad2ad0c5-3cca-40d9-b1a5-182588339920,25864,"alternative rock, college, electronic",College:  A Retrospective,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/a/ad/ad2ad0c5-3cca-40d9-b1a5-182588339920-0.json,FALSE
19836,Another Night,Real McCoy,128655,e419a74f-ef16-4e6f-b48a-ae6ee9fef3f7,25864,"alternative rock, college, electronic",College:  A Retrospective,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/e/e4/e419a74f-ef16-4e6f-b48a-ae6ee9fef3f7-0.json,TRUE,danceable,0.994227707386,female,0.98635917902,electronic,0.954830110073,trance,0.578946053982,dan,0.52134513855,jaz,0.313974827528,ChaChaCha,0.773252010345,not_acoustic,0.941086292267,not_aggressive,0.98865789175,electronic,0.580985963345,happy,0.707714378834,party,0.789179325104,not_relaxed,0.883094847202,not_sad,0.593708634377,Cluster2,0.270452111959,bright,0.999981999397,tonal,0.914765954018,voice,0.885918319225
