user_id,track_name,artist_name,8tracks_id,mbids,playlist_id,tags,playlist_name,path,in_db,danceability_value,danceability_prob,gender_value,gender_prob,genre_dortmund_value,genre_dortmund_prob,genre_electronic_value,genre_electronic_prob,genre_rosamerica_value,genre_rosamerica_prob,genre_tzanetakis_value,genre_tzanetakis_prob,ismir04_rhythm_value,ismir04_rhythm_prob,mood_acoustic_value,mood_acoustic_prob,mood_aggressive_value,mood_aggressive_prob,mood_electronic_value,mood_electronic_prob,mood_happy_value,mood_happy_prob,mood_party_value,mood_party_prob,mood_relaxed_value,mood_relaxed_prob,mood_sad_value,mood_sad_prob,moods_mirex_value,moods_mirex_prob,timbre_value,timbre_prob,tonal_atonal_value,tonal_atonal_prob,voice_instrumental_value,voice_instrumental_prob
24541,My Funny Valentine,The Miles Davis Quintet,95042,afb29260-4541-4d36-86c7-8ac82dd1c4ad,27668,"jazz, hard bop, bebob","Warm, Peaceful Jazz | 16 Hard Bop Classics ",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/a/af/afb29260-4541-4d36-86c7-8ac82dd1c4ad-0.json,FALSE
24541,In A Sentimental Mood,Duke Ellington & John Coltrane,58688,487ba7c5-4e31-4266-bcca-867dc221075a,27668,"jazz, hard bop, bebob","Warm, Peaceful Jazz | 16 Hard Bop Classics ",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/4/48/487ba7c5-4e31-4266-bcca-867dc221075a-0.json,FALSE
24541,Naima,John Coltrane,135385,d1e7b624-f4a8-489e-88cb-685a0b162eca,27668,"jazz, hard bop, bebob","Warm, Peaceful Jazz | 16 Hard Bop Classics ",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/d/d1/d1e7b624-f4a8-489e-88cb-685a0b162eca-0.json,FALSE
24541,I Guess I'll Hang My Tears Out To Dry,Dexter Gordon,22894,7bffff46-0c5a-4c9d-8f60-dd4e89cf0161,27668,"jazz, hard bop, bebob","Warm, Peaceful Jazz | 16 Hard Bop Classics ",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/7/7b/7bffff46-0c5a-4c9d-8f60-dd4e89cf0161-0.json,FALSE
24541,Summertime,Charlie Parker,190230,80d5f63c-a1d2-49cc-9c04-26323ae8ab2e,27668,"jazz, hard bop, bebob","Warm, Peaceful Jazz | 16 Hard Bop Classics ",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/8/80/80d5f63c-a1d2-49cc-9c04-26323ae8ab2e-0.json,TRUE,not_danceable,0.841668009758,female,0.714853107929,folkcountry,0.415002375841,ambient,0.666670620441,cla,0.671752512455,jaz,0.296469151974,VienneseWaltz,0.891255736351,acoustic,0.807184159756,not_aggressive,0.970330834389,not_electronic,0.880431830883,happy,0.701181352139,not_party,0.70787268877,relaxed,0.672536373138,sad,0.690923750401,Cluster2,0.308323830366,dark,0.990124464035,tonal,0.913895130157,instrumental,0.918611049652
24541,In A Sentimental Mood, - Sonny Rollins With The Modern Jazz Quartet,1911,fbab66a9-7104-4c29-9c08-d9e13a4dcfa9,27668,"jazz, hard bop, bebob","Warm, Peaceful Jazz | 16 Hard Bop Classics ",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/f/fb/fbab66a9-7104-4c29-9c08-d9e13a4dcfa9-0.json,FALSE
24541,"I Know, Don't Know How - Gerry Mulligan",Gerry Mulligan,119290,4725ff80-682f-4a2b-a620-c60989708df3,27668,"jazz, hard bop, bebob","Warm, Peaceful Jazz | 16 Hard Bop Classics ",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/4/47/4725ff80-682f-4a2b-a620-c60989708df3-0.json,FALSE
24541,But Beautiful,Bill Evans / Stan Getz,118594,4182a3b5-6dbe-40b6-828e-d63b1c4848ff,27668,"jazz, hard bop, bebob","Warm, Peaceful Jazz | 16 Hard Bop Classics ",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/4/41/4182a3b5-6dbe-40b6-828e-d63b1c4848ff-0.json,TRUE,not_danceable,0.950638532639,female,0.926882565022,electronic,0.997257053852,ambient,0.89757835865,jaz,0.940123677254,jaz,0.309975117445,VienneseWaltz,0.542830228806,acoustic,0.960861742496,not_aggressive,0.930926799774,not_electronic,0.52585375309,not_happy,0.99270427227,not_party,0.968539476395,relaxed,0.955532073975,sad,0.649755299091,Cluster3,0.555503129959,dark,0.995111048222,atonal,0.929452240467,instrumental,0.93136703968
24541,Poor Butterfly,Sonny Rollins,55243,7393dd60-da50-411d-8ab8-3ef5361773a0,27668,"jazz, hard bop, bebob","Warm, Peaceful Jazz | 16 Hard Bop Classics ",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/7/73/7393dd60-da50-411d-8ab8-3ef5361773a0-0.json,TRUE,danceable,0.521458983421,male,0.944457173347,electronic,0.996835052967,ambient,0.772646963596,jaz,0.740497946739,jaz,0.309046447277,Tango,0.762250423431,acoustic,0.5,not_aggressive,0.950777053833,electronic,0.866138696671,not_happy,0.946110010147,not_party,0.823553621769,relaxed,0.797962963581,not_sad,0.736503124237,Cluster3,0.285036861897,dark,0.997617423534,atonal,0.997093319893,instrumental,0.886954188347
24541,Almost Like Being In Love,Lester Young,126497,d3a9bbe1-4912-469f-af0a-f5c86c328201,27668,"jazz, hard bop, bebob","Warm, Peaceful Jazz | 16 Hard Bop Classics ",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/d/d3/d3a9bbe1-4912-469f-af0a-f5c86c328201-0.json,TRUE,not_danceable,0.53169387579,female,0.890465795994,electronic,0.646883964539,ambient,0.505293190479,jaz,0.918758928776,jaz,0.370701730251,Tango,0.58334761858,not_acoustic,0.91289126873,aggressive,0.999992966652,not_electronic,0.595638930798,not_happy,0.673954963684,not_party,0.906400263309,relaxed,0.915420889854,sad,0.613240540028,Cluster5,0.61999386549,bright,0.987273395061,atonal,0.875897407532,instrumental,0.995808601379
24541,Blues in H (B),Modern Jazz Quartet,147857,f0ec8656-2f55-48b0-8907-147583b81bc6,27668,"jazz, hard bop, bebob","Warm, Peaceful Jazz | 16 Hard Bop Classics ",/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/f/f0/f0ec8656-2f55-48b0-8907-147583b81bc6-0.json,TRUE,danceable,0.570186436176,male,0.709917247295,electronic,0.999496042728,ambient,0.835711300373,jaz,0.554476678371,jaz,0.313987255096,Tango,0.669795930386,acoustic,0.968203365803,not_aggressive,0.953956127167,not_electronic,0.827495038509,not_happy,0.737505912781,not_party,0.964895427227,relaxed,0.942186772823,not_sad,0.555710494518,Cluster5,0.373265117407,dark,0.522292613983,tonal,0.93565928936,instrumental,0.982706129551
