user_id,track_name,artist_name,8tracks_id,mbids,playlist_id,tags,playlist_name,path,in_db,danceability_value,danceability_prob,gender_value,gender_prob,genre_dortmund_value,genre_dortmund_prob,genre_electronic_value,genre_electronic_prob,genre_rosamerica_value,genre_rosamerica_prob,genre_tzanetakis_value,genre_tzanetakis_prob,ismir04_rhythm_value,ismir04_rhythm_prob,mood_acoustic_value,mood_acoustic_prob,mood_aggressive_value,mood_aggressive_prob,mood_electronic_value,mood_electronic_prob,mood_happy_value,mood_happy_prob,mood_party_value,mood_party_prob,mood_relaxed_value,mood_relaxed_prob,mood_sad_value,mood_sad_prob,moods_mirex_value,moods_mirex_prob,timbre_value,timbre_prob,tonal_atonal_value,tonal_atonal_prob,voice_instrumental_value,voice_instrumental_prob
25087,Sell Out,Reel Big Fish,102706,d9cfc4b0-302f-4aee-b41c-4a00e348253c,29278,"rock_new wave, ska, rock",Every 7 years I'm in the mood for ska...   ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/d/d9/d9cfc4b0-302f-4aee-b41c-4a00e348253c-0.json,FALSE
25087,Take On Me,Reel Big Fish,133414,2394eae8-fde3-49c9-bb4e-573c967e0faf,29278,"rock_new wave, ska, rock",Every 7 years I'm in the mood for ska...   ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/2/23/2394eae8-fde3-49c9-bb4e-573c967e0faf-0.json,FALSE
25087,The Rascal King,The Mighty Mighty Bosstones,193822,51710798-b9d5-4c2e-b3c7-bad07ce01aeb,29278,"rock_new wave, ska, rock",Every 7 years I'm in the mood for ska...   ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/5/51/51710798-b9d5-4c2e-b3c7-bad07ce01aeb-0.json,TRUE,not_danceable,1,female,0.622126698494,electronic,0.973880827427,ambient,0.478541135788,roc,0.746899545193,jaz,0.309046447277,VienneseWaltz,0.21441398561,not_acoustic,0.904409646988,not_aggressive,1,electronic,0.979391694069,not_happy,0.889140129089,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.978067159653,Cluster5,0.61999386549,dark,0.99935811758,tonal,0.557187020779,instrumental,0.994368493557
25087,The Impression That I Get,The Mighty Mighty Bosstones,217012,038a81d4-070c-4fa6-8c2f-43703a85d258,29278,"rock_new wave, ska, rock",Every 7 years I'm in the mood for ska...   ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/0/03/038a81d4-070c-4fa6-8c2f-43703a85d258-0.json,TRUE,not_danceable,1,female,0.622126698494,electronic,0.97519916296,ambient,0.760407030582,roc,0.663467228413,jaz,0.309046447277,ChaChaCha,0.865602552891,not_acoustic,0.904409646988,not_aggressive,1,electronic,0.979391694069,not_happy,0.7069439888,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.971153497696,Cluster5,0.61999386549,dark,0.991915464401,atonal,0.993767917156,instrumental,0.993238866329
25087,Hey Luno,The Aquabats,171408,3b8a52d5-8dc1-4a7f-8bc1-699e39c54bfc,29278,"rock_new wave, ska, rock",Every 7 years I'm in the mood for ska...   ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/3/3b/3b8a52d5-8dc1-4a7f-8bc1-699e39c54bfc-0.json,FALSE
25087,Time Bomb,Rancid,225420,baee449f-fafe-43ae-a3c2-edee7f281b6b,29278,"rock_new wave, ska, rock",Every 7 years I'm in the mood for ska...   ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/b/ba/baee449f-fafe-43ae-a3c2-edee7f281b6b-0.json,FALSE
25087,History of A Boring Town,Less Than Jake,107587,35364155-78cc-4439-9517-2088a39d7627,29278,"rock_new wave, ska, rock",Every 7 years I'm in the mood for ska...   ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/3/35/35364155-78cc-4439-9517-2088a39d7627-0.json,FALSE
25087,Liquor Store,Less Than Jake,97297,796bef12-35c1-49d6-b830-dee524968187,29278,"rock_new wave, ska, rock",Every 7 years I'm in the mood for ska...   ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/7/79/796bef12-35c1-49d6-b830-dee524968187-0.json,FALSE
25087,The Blonde Lead The Blind,Streetlight Manifesto,191166,68a513a4-3c15-460d-9fc2-d823efa0e4c8,29278,"rock_new wave, ska, rock",Every 7 years I'm in the mood for ska...   ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/6/68/68a513a4-3c15-460d-9fc2-d823efa0e4c8-0.json,TRUE,danceable,0.797840416431,male,0.963984072208,electronic,0.988280057907,trance,0.664806783199,roc,0.967790842056,jaz,0.310666948557,VienneseWaltz,0.219946429133,not_acoustic,0.996044874191,not_aggressive,0.999983906746,not_electronic,0.696386516094,happy,0.789831280708,not_party,0.869060456753,relaxed,0.535201370716,not_sad,0.874027431011,Cluster5,0.470841914415,bright,0.835757255554,tonal,0.883438766003,instrumental,0.918571770191
25087,My Problem,Dance Hall Crashers,206917,a4f3e18a-2574-474b-9d51-423f29b1dbb1,29278,"rock_new wave, ska, rock",Every 7 years I'm in the mood for ska...   ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/a/a4/a4f3e18a-2574-474b-9d51-423f29b1dbb1-0.json,FALSE
25087,9mm And A Three Piece Suit,Streetlight Manifesto,202956,21fc58ad-72cb-4f5f-bd9f-3e4d7830dea8,29278,"rock_new wave, ska, rock",Every 7 years I'm in the mood for ska...   ,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/2/21/21fc58ad-72cb-4f5f-bd9f-3e4d7830dea8-0.json,TRUE,danceable,0.676617443562,male,0.964983701706,rock,0.402563869953,trance,0.314887732267,roc,0.599602997303,jaz,0.310666948557,ChaChaCha,0.863027632236,not_acoustic,0.997393608093,aggressive,0.832740485668,not_electronic,0.703199267387,happy,0.895662844181,party,0.849228918552,not_relaxed,0.982234299183,not_sad,0.986957371235,Cluster5,0.408245652914,bright,0.739427089691,tonal,0.759328007698,voice,0.921496510506
