user_id,track_name,artist_name,8tracks_id,mbids,playlist_id,tags,playlist_name,path,in_db,danceability_value,danceability_prob,gender_value,gender_prob,genre_dortmund_value,genre_dortmund_prob,genre_electronic_value,genre_electronic_prob,genre_rosamerica_value,genre_rosamerica_prob,genre_tzanetakis_value,genre_tzanetakis_prob,ismir04_rhythm_value,ismir04_rhythm_prob,mood_acoustic_value,mood_acoustic_prob,mood_aggressive_value,mood_aggressive_prob,mood_electronic_value,mood_electronic_prob,mood_happy_value,mood_happy_prob,mood_party_value,mood_party_prob,mood_relaxed_value,mood_relaxed_prob,mood_sad_value,mood_sad_prob,moods_mirex_value,moods_mirex_prob,timbre_value,timbre_prob,tonal_atonal_value,tonal_atonal_prob,voice_instrumental_value,voice_instrumental_prob
6580,Please Come Home For Christmas,The Eagles,74864,f39919aa-d50e-480b-8d89-2cc709c5f59a,8459,"christmas, holiday, pop, classic rock, indie",X-mas Up in Your Plexus,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/f/f3/f39919aa-d50e-480b-8d89-2cc709c5f59a-0.json,TRUE,danceable,0.606878221035,female,0.55197763443,alternative,0.28914180398,ambient,0.79504019022,rhy,0.552203953266,jaz,0.311586618423,VienneseWaltz,0.343710750341,acoustic,0.601464629173,not_aggressive,0.99049693346,not_electronic,0.912874996662,not_happy,0.76862859726,not_party,0.871010124683,relaxed,0.844301402569,sad,0.783757805824,Cluster3,0.394152164459,bright,0.902561545372,tonal,0.89029353857,voice,0.998144805431
6580,Merry Christmas (I Don't Want to Fight Tonight),The Ramones,74874,4b2d30eb-188d-4a6b-891b-35db7b7bbfa4,8459,"christmas, holiday, pop, classic rock, indie",X-mas Up in Your Plexus,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/4/4b/4b2d30eb-188d-4a6b-891b-35db7b7bbfa4-0.json,TRUE,not_danceable,1,female,0.622126698494,electronic,0.973063588142,ambient,0.515392959118,roc,0.656355142593,jaz,0.309046447277,ChaChaCha,0.794664144516,not_acoustic,0.904409646988,not_aggressive,1,electronic,0.979391694069,not_happy,0.814990639687,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.955907464027,Cluster5,0.61999386549,dark,0.999730229378,atonal,0.995702147484,instrumental,0.996735155582
6580,Christmas In Hollis,Run DMC,74875,b9eb9d7d-6897-479a-a16c-c380872a70b1,8459,"christmas, holiday, pop, classic rock, indie",X-mas Up in Your Plexus,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/b/b9/b9eb9d7d-6897-479a-a16c-c380872a70b1-0.json,FALSE
6580,Christmas Wrapping,The Waitresses,74876,94b7ef1f-c53d-43cc-a237-2fe44e464a68,8459,"christmas, holiday, pop, classic rock, indie",X-mas Up in Your Plexus,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/9/94/94b7ef1f-c53d-43cc-a237-2fe44e464a68-0.json,FALSE
6580,Last Christmas,Wham!,74878,41ab40ec-f04b-46fd-8a95-726bb12392ec,8459,"christmas, holiday, pop, classic rock, indie",X-mas Up in Your Plexus,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/4/41/41ab40ec-f04b-46fd-8a95-726bb12392ec-0.json,TRUE,not_danceable,1,female,0.622126698494,electronic,0.936381459236,house,0.378370851278,hip,0.761733055115,jaz,0.309046447277,ChaChaCha,0.814375817776,not_acoustic,0.905609846115,not_aggressive,1,electronic,0.979391694069,not_happy,0.900805473328,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.958812177181,Cluster5,0.622221767902,dark,0.999227046967,atonal,0.959531903267,instrumental,0.979873001575
6580,2000 Miles,The Pretenders,74879,f061e116-1ce0-42ac-84d2-b0ab5e3f79ed,8459,"christmas, holiday, pop, classic rock, indie",X-mas Up in Your Plexus,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/f/f0/f061e116-1ce0-42ac-84d2-b0ab5e3f79ed-0.json,TRUE,not_danceable,0.906889736652,male,0.774987578392,rock,0.299429357052,ambient,0.737642288208,roc,0.725774586201,jaz,0.313974827528,Jive,0.451796680689,not_acoustic,0.91023504734,not_aggressive,0.886745691299,not_electronic,0.942447602749,happy,0.740187227726,not_party,0.529487371445,not_relaxed,0.971183240414,not_sad,0.641346096992,Cluster4,0.36019051075,bright,0.999983251095,tonal,0.994812071323,voice,0.984057426453
6580,The Man With All The Toys,The Beach Boys,74880,bd23aaae-2321-4583-ac12-66a2fa463b4a,8459,"christmas, holiday, pop, classic rock, indie",X-mas Up in Your Plexus,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/b/bd/bd23aaae-2321-4583-ac12-66a2fa463b4a-0.json,FALSE
6580,Christmas Is The Time To Say I Love You,Billy Squier,74881,fa63050e-96fb-4f3e-98c5-b6c7ea1c61a1,8459,"christmas, holiday, pop, classic rock, indie",X-mas Up in Your Plexus,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/f/fa/fa63050e-96fb-4f3e-98c5-b6c7ea1c61a1-0.json,FALSE
6580,Blue Christmas,Elvis Presley,74882,091136d6-1496-4a43-9a55-90da65a20985,8459,"christmas, holiday, pop, classic rock, indie",X-mas Up in Your Plexus,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/0/09/091136d6-1496-4a43-9a55-90da65a20985-0.json,FALSE
6580,Wombling Merry Christmas,The Wombles,74883,6368d82f-9ddb-467b-b6a0-171ef58bdbdc,8459,"christmas, holiday, pop, classic rock, indie",X-mas Up in Your Plexus,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/6/63/6368d82f-9ddb-467b-b6a0-171ef58bdbdc-0.json,TRUE,not_danceable,1,female,0.622126698494,electronic,0.954321265221,ambient,0.866370677948,pop,0.358821600676,jaz,0.309046447277,Jive,0.2146089077,not_acoustic,0.904409646988,not_aggressive,1,electronic,0.979391694069,not_happy,0.92435836792,not_party,0.999984204769,relaxed,0.808817088604,not_sad,0.886886358261,Cluster5,0.623313903809,dark,0.999318420887,atonal,0.980470597744,instrumental,0.985269367695
6580,Merry Xmas Everybody,Slade,74884,cd4efbb0-c6e2-4d0a-b269-6b638a9c6798,8459,"christmas, holiday, pop, classic rock, indie",X-mas Up in Your Plexus,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/c/cd/cd4efbb0-c6e2-4d0a-b269-6b638a9c6798-0.json,FALSE
6580,Rock And Roll Winter,Roy Wood,74886,66b3ff61-ff8c-476f-9bae-b18ecd7dcd0c,8459,"christmas, holiday, pop, classic rock, indie",X-mas Up in Your Plexus,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/6/66/66b3ff61-ff8c-476f-9bae-b18ecd7dcd0c-0.json,FALSE
6580,Christmas Celebration,Weezer,74887,108d1c3c-b193-4c4b-80d5-5bcfce441c71,8459,"christmas, holiday, pop, classic rock, indie",X-mas Up in Your Plexus,/local/daniel/acousticbrainz/acousticbrainz-highlevel-json-20150130/highlevel/1/10/108d1c3c-b193-4c4b-80d5-5bcfce441c71-0.json,TRUE,not_danceable,0.996479153633,male,0.883007526398,alternative,0.353873193264,trance,0.579025745392,roc,0.952620446682,jaz,0.313974827528,ChaChaCha,0.452950507402,not_acoustic,0.995505750179,aggressive,0.992061316967,not_electronic,0.944258868694,not_happy,0.851738989353,party,0.788962721825,not_relaxed,0.838845014572,not_sad,0.983208239079,Cluster5,0.827783405781,bright,0.807687878609,atonal,0.909544050694,voice,0.99948322773
