user_id,mix_id,mix_name,mix_tags,track_id,track_name,artist_name,focus,voice_instrumental_value,voice_instrumental_prob,bpm,danceability_value,danceability_prob,tone
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6188766,"Wings for Marie, Pt. 1",Tool,1
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6188808,If I Had A Heart,Fever Ray,1,instrumental,0.88411539793,84.8633575439,not_danceable,0.933030128479,major
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6188869,Who Is Tyler Durden?,The Dust Brothers,1,instrumental,0.997442483902,110.98500061,not_danceable,1,major
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6188922,Tron,Joker,1
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6188953,In Motion,Trent Reznor & Atticus Ross,1
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6188989,Purple Daze,Minnesota,1
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6189105,Eternal,Evanescence,1
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6189135,Numb,Portishead,1
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6189162,Persian Algebra,Sticky K ,1
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6189174,Social Network,Luke Christopher,1
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6188439,Your Hand In Mine,Explosions In The Sky,1
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6188460,Timestretch,Bassnectar,1,instrumental,0.890552222729,139.992965698,danceable,0.999991059303,major
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6188465,Tapp ,3OH!3,1,voice,0.96625906229,120.611564636,danceable,0.999999880791,major
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6188503,Kiss the Sky,Shawn Lee's Ping Pong Orchestra,1,instrumental,0.9766959548,85.1743392944,not_danceable,1,major
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6188581,Animus Vox,The Glitch Mob,1
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6188606,Hiatus,Asking Alexandria,1,voice,0.715082645416,139.486312866,danceable,0.895134985447,minor
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6188713,Boombox (Bassnectar Remix)- Instrumental,Bassnectar,1
429955,596585,Anonymous - Code Focus,"electronic, instrumental, focus, coding",6282538,Galuchat,Gui Boratto,1
